Deelnemer ID,Nummer,Spotify ID,Artiest,Stemming begin,Energie begin,Gevoel begin,Aan het studeren,Studietaak,Muziek tijdens studeren,Moeilijkheid studie,Reden focus,Stemming later,Energie later,Gevoel later,track_id,track_genre,energy,valence,tempo,danceability,popularity,Stemmingsverschil,Energieverschil,_bronrij
3038,Broken,spotify:track:0eh5azt1mIOqUx9eW09llJ,Anson Seabra,,,,,,,,,,,,2AHKsVXN6BjBO8SEVX6cBC,singer-songwriter,0.0759,0.234,98.979,0.481,63.0,,,0
3038,Broken,spotify:track:0eh5azt1mIOqUx9eW09llJ,Anson Seabra,,,,,,,,,,,,2AHKsVXN6BjBO8SEVX6cBC,songwriter,0.0759,0.234,98.979,0.481,63.0,,,0
3038,inner peace,spotify:track:7jvyYiVYg3XxjvyrOZHDwg,Milkz,1.0,-1.0,Calm,Yes,"Reading (e.g., book, article, etc.)",Yes,2.0,0.0,,,,,,,,,,,,,1
3038,Let Her Go,spotify:track:4zTa4w2IK9VxftxJL3RmvJ,Passenger,3.0,0.0,Confident,No,,,,,0.0,-1.0,Calm,2pUpNOgJBIBCcjyQZQ00qU,folk,0.541,0.217,76.289,0.445,75.0,-3.0,-1.0,2
3038,Walked Through Hell,spotify:track:6c7N5N7amAOpeMykjlovjI,Anson Seabra,,,,,,,,,,,,6c7N5N7amAOpeMykjlovjI,singer-songwriter,0.404,0.129,81.713,0.508,68.0,,,3
3038,Walked Through Hell,spotify:track:6c7N5N7amAOpeMykjlovjI,Anson Seabra,,,,,,,,,,,,6c7N5N7amAOpeMykjlovjI,songwriter,0.404,0.129,81.713,0.508,68.0,,,3
3038,Walked Through Hell,spotify:track:6c7N5N7amAOpeMykjlovjI,Anson Seabra,,,,,,,,,,,,6c7N5N7amAOpeMykjlovjI,singer-songwriter,0.404,0.129,81.713,0.508,68.0,,,4
3038,Walked Through Hell,spotify:track:6c7N5N7amAOpeMykjlovjI,Anson Seabra,,,,,,,,,,,,6c7N5N7amAOpeMykjlovjI,songwriter,0.404,0.129,81.713,0.508,68.0,,,4
3038,I Lost a Friend,spotify:track:49MMefftWPcltNP4OOJGSs,FINNEAS,,,,,,,,,,,,,,,,,,,,,5
3038,Migraine,spotify:track:4rfaoyaZvNa60cj3OKSQV9,Twenty One Pilots,,,,,,,,,,,,,,,,,,,,,6
3038,A Reason to Fight,spotify:track:78ObTPtTR1gQ1b6tcVeBdA,Disturbed,,,,,,,,,,,,,,,,,,,,,7
3038,Message Man,spotify:track:4Oyl6oYSNeeZZP0OAxPVaU,Twenty One Pilots,,,,,,,,,,,,,,,,,,,,,8
3038,Walked Through Hell,spotify:track:6c7N5N7amAOpeMykjlovjI,Anson Seabra,,,,,,,,,,,,6c7N5N7amAOpeMykjlovjI,singer-songwriter,0.404,0.129,81.713,0.508,68.0,,,9
3038,Walked Through Hell,spotify:track:6c7N5N7amAOpeMykjlovjI,Anson Seabra,,,,,,,,,,,,6c7N5N7amAOpeMykjlovjI,songwriter,0.404,0.129,81.713,0.508,68.0,,,9
3038,Trying My Best,spotify:track:06qUEhhx6jKQmhj2qAkn4H,Anson Seabra,,,,,,,,,,,,6hjh2phISvfR1Ib6S0FK7b,singer-songwriter,0.0682,0.352,76.94,0.691,67.0,,,10
3038,Trying My Best,spotify:track:06qUEhhx6jKQmhj2qAkn4H,Anson Seabra,,,,,,,,,,,,6hjh2phISvfR1Ib6S0FK7b,songwriter,0.0682,0.352,76.94,0.691,67.0,,,10
3038,Robin Hood,spotify:track:5dyihZecYMcEPq09Bk2OL2,Anson Seabra,,,,,,,,,,,,5dyihZecYMcEPq09Bk2OL2,singer-songwriter,0.153,0.324,78.072,0.731,64.0,,,11
3038,Robin Hood,spotify:track:5dyihZecYMcEPq09Bk2OL2,Anson Seabra,,,,,,,,,,,,5dyihZecYMcEPq09Bk2OL2,songwriter,0.153,0.324,78.072,0.731,64.0,,,11
3038,When I Was Your Man,spotify:track:0nJW01T7XtvILxQgC5J7Wh,Bruno Mars,,,,,,,,,,,,,,,,,,,,,12
3038,I Lost a Friend,spotify:track:49MMefftWPcltNP4OOJGSs,FINNEAS,,,,,,,,,,,,,,,,,,,,,13
3038,im pretty forgettable,spotify:track:2vcPEJ5TsmKC9lnLkNVGUj,ocha,,,,,,,,,,,,,,,,,,,,,14
3038,Screen,spotify:track:1pKmfhwbZvsyYUP2eOGdw5,Twenty One Pilots,,,,,,,,,,,,,,,,,,,,,15
3038,House of Gold,spotify:track:36tghkPg1AO4HsAzo6YpPp,Twenty One Pilots,,,,,,,,,,,,5rDrZXgrZ6iKxE6jDO2mFD,rock,0.694,0.851,114.945,0.68,0.0,,,16
3038,Walked Through Hell,spotify:track:6c7N5N7amAOpeMykjlovjI,Anson Seabra,,,,,,,,,,,,6c7N5N7amAOpeMykjlovjI,singer-songwriter,0.404,0.129,81.713,0.508,68.0,,,17
3038,Walked Through Hell,spotify:track:6c7N5N7amAOpeMykjlovjI,Anson Seabra,,,,,,,,,,,,6c7N5N7amAOpeMykjlovjI,songwriter,0.404,0.129,81.713,0.508,68.0,,,17
3038,Talk to Me,spotify:track:3znD2JTezT8ZLkp2pmft2l,Cavetown,,,,,,,,,,,,,,,,,,,,,18
3038,ãªã„ã‚‚ã®ã­ã ã‚Š - Revenge THE FIRST TAKE,spotify:track:43QSsuxazI8xms29SYCtxh,KANA-BOON,,,,,,,,,,,,43QSsuxazI8xms29SYCtxh,anime,0.811,0.691,87.508,0.565,58.0,,,19
3038,ãªã„ã‚‚ã®ã­ã ã‚Š - Revenge THE FIRST TAKE,spotify:track:43QSsuxazI8xms29SYCtxh,KANA-BOON,,,,,,,,,,,,43QSsuxazI8xms29SYCtxh,j-pop,0.811,0.691,87.508,0.565,58.0,,,19
3038,ãªã„ã‚‚ã®ã­ã ã‚Š - Revenge THE FIRST TAKE,spotify:track:43QSsuxazI8xms29SYCtxh,KANA-BOON,,,,,,,,,,,,43QSsuxazI8xms29SYCtxh,j-rock,0.811,0.691,87.508,0.565,58.0,,,19
3038,Walked Through Hell,spotify:track:6c7N5N7amAOpeMykjlovjI,Anson Seabra,,,,,,,,,,,,6c7N5N7amAOpeMykjlovjI,singer-songwriter,0.404,0.129,81.713,0.508,68.0,,,20
3038,Walked Through Hell,spotify:track:6c7N5N7amAOpeMykjlovjI,Anson Seabra,,,,,,,,,,,,6c7N5N7amAOpeMykjlovjI,songwriter,0.404,0.129,81.713,0.508,68.0,,,20
3038,Car Radio,spotify:track:5cbpoIu3YjoOwbBDGUEp3P,Twenty One Pilots,,,,,,,,,,,,,,,,,,,,,21
3038,Walked Through Hell,spotify:track:6c7N5N7amAOpeMykjlovjI,Anson Seabra,,,,,,,,,,,,6c7N5N7amAOpeMykjlovjI,singer-songwriter,0.404,0.129,81.713,0.508,68.0,,,22
3038,Walked Through Hell,spotify:track:6c7N5N7amAOpeMykjlovjI,Anson Seabra,,,,,,,,,,,,6c7N5N7amAOpeMykjlovjI,songwriter,0.404,0.129,81.713,0.508,68.0,,,22
3038,Let Her Go,spotify:track:4zTa4w2IK9VxftxJL3RmvJ,Passenger,,,,,,,,,,,,2pUpNOgJBIBCcjyQZQ00qU,folk,0.541,0.217,76.289,0.445,75.0,,,23
