Genre,Kenmerk,Gemiddelde,Aantal
acoustic,danceability,0.549593,1000
acoustic,energy,0.43536810000000004,1000
acoustic,tempo,119.01062399999999,1000
acoustic,valence,0.42402300000000004,1000
afrobeat,danceability,0.6695800000000001,1000
afrobeat,energy,0.702812,1000
afrobeat,tempo,119.213337,1000
afrobeat,valence,0.6986192,1000
alt-rock,danceability,0.5344930000000001,1000
alt-rock,energy,0.754173,1000
alt-rock,tempo,124.63440399999999,1000
alt-rock,valence,0.5182603,1000
alternative,danceability,0.5599270000000001,1000
alternative,energy,0.72003,1000
alternative,tempo,122.232394,1000
alternative,valence,0.4955701,1000
ambient,danceability,0.3678668,1000
ambient,energy,0.23716178999999998,1000
ambient,tempo,111.113129,1000
ambient,valence,0.16749819999999999,1000
anime,danceability,0.5374514,1000
anime,energy,0.6741083,1000
anime,tempo,123.52961599999999,1000
anime,valence,0.4344631,1000
black-metal,danceability,0.29641090000000003,1000
black-metal,energy,0.8748973,1000
black-metal,tempo,128.601515,1000
black-metal,valence,0.1917364,1000
bluegrass,danceability,0.5346920000000001,1000
bluegrass,energy,0.5302796,1000
bluegrass,tempo,126.578805,1000
bluegrass,valence,0.6350927000000001,1000
blues,danceability,0.568567,1000
blues,energy,0.5818775,1000
blues,tempo,116.568352,1000
blues,valence,0.6040318,1000
brazil,danceability,0.562948,1000
brazil,energy,0.620721,1000
brazil,tempo,121.935644,1000
brazil,valence,0.46978960000000003,1000
breakbeat,danceability,0.6461939999999999,1000
breakbeat,energy,0.853275,1000
breakbeat,tempo,133.03021299999997,1000
breakbeat,valence,0.4747443,1000
british,danceability,0.5012758,1000
british,energy,0.50712697,1000
british,tempo,118.828617,1000
british,valence,0.4397141,1000
cantopop,danceability,0.547909,1000
cantopop,energy,0.4616962,1000
cantopop,tempo,124.27733500000001,1000
cantopop,valence,0.3935679,1000
chicago-house,danceability,0.7661760000000001,1000
chicago-house,energy,0.7332150000000001,1000
chicago-house,tempo,123.92268000000001,1000
chicago-house,valence,0.5865412,1000
children,danceability,0.716467,1000
children,energy,0.49464517999999996,1000
children,tempo,123.341201,1000
children,valence,0.6942874,1000
chill,danceability,0.664346,1000
chill,energy,0.42672289999999996,1000
chill,tempo,115.479376,1000
chill,valence,0.4037695,1000
classical,danceability,0.3819228,1000
classical,energy,0.189827326,1000
classical,tempo,107.949793,1000
classical,valence,0.38105,1000
club,danceability,0.6033541,1000
club,energy,0.7217338,1000
club,tempo,123.301328,1000
club,valence,0.3682132,1000
comedy,danceability,0.577195,1000
comedy,energy,0.699934,1000
comedy,tempo,100.995582,1000
comedy,valence,0.4548455,1000
country,danceability,0.555294,1000
country,energy,0.5968052,1000
country,tempo,123.963307,1000
country,valence,0.5214813,1000
dance,danceability,0.687856,1000
dance,energy,0.708583,1000
dance,tempo,120.128306,1000
dance,valence,0.5525414,1000
dancehall,danceability,0.734169,1000
dancehall,energy,0.6852619999999999,1000
dancehall,tempo,112.909984,1000
dancehall,valence,0.6290086,1000
death-metal,danceability,0.36841090000000004,1000
death-metal,energy,0.93147,1000
death-metal,tempo,123.779016,1000
death-metal,valence,0.2476111,1000
deep-house,danceability,0.710448,1000
deep-house,energy,0.741855,1000
deep-house,tempo,120.874904,1000
deep-house,valence,0.4472821,1000
detroit-techno,danceability,0.722568,1000
detroit-techno,energy,0.7105123999999999,1000
detroit-techno,tempo,126.59223399999999,1000
detroit-techno,valence,0.4692299,1000
disco,danceability,0.676692,1000
disco,energy,0.737565,1000
disco,tempo,121.97438000000001,1000
disco,valence,0.6707538,1000
disney,danceability,0.46287419999999996,1000
disney,energy,0.30251886,1000
disney,tempo,112.060854,1000
disney,valence,0.3685574,1000
drum-and-bass,danceability,0.535486,1000
drum-and-bass,energy,0.8766349999999999,1000
drum-and-bass,tempo,155.241712,1000
drum-and-bass,valence,0.32147390000000003,1000
dub,danceability,0.575321,1000
dub,energy,0.714817,1000
dub,tempo,129.450647,1000
dub,valence,0.3867285,1000
dubstep,danceability,0.518087,1000
dubstep,energy,0.758969,1000
dubstep,tempo,133.631709,1000
dubstep,valence,0.2717089,1000
edm,danceability,0.64822,1000
edm,energy,0.756196,1000
edm,tempo,122.037299,1000
edm,valence,0.4651983,1000
electro,danceability,0.651749,1000
electro,energy,0.665,1000
electro,tempo,120.83505899999999,1000
electro,valence,0.46674329999999997,1000
electronic,danceability,0.652945,1000
electronic,energy,0.6947523,1000
electronic,tempo,122.947839,1000
electronic,valence,0.39183890000000005,1000
emo,danceability,0.599321,1000
emo,energy,0.6699669202999999,1000
emo,tempo,126.992643,1000
emo,valence,0.441135,1000
folk,danceability,0.558514,1000
folk,energy,0.545807,1000
folk,tempo,118.469526,1000
folk,valence,0.4906028,1000
forro,danceability,0.6497759999999999,1000
forro,energy,0.789526,1000
forro,tempo,140.362197,1000
forro,valence,0.7606934,1000
french,danceability,0.6514675999999999,1000
french,energy,0.5949901999999999,1000
french,tempo,117.82008599999999,1000
french,valence,0.42993950000000003,1000
funk,danceability,0.678184,1000
funk,energy,0.632999,1000
funk,tempo,117.755823,1000
funk,valence,0.5996525,1000
garage,danceability,0.48426440000000004,1000
garage,energy,0.7443500000000001,1000
garage,tempo,127.048215,1000
garage,valence,0.5180332,1000
german,danceability,0.5243375,1000
german,energy,0.53171768,1000
german,tempo,117.503453,1000
german,valence,0.37907799999999997,1000
gospel,danceability,0.473298,1000
gospel,energy,0.5762564,1000
gospel,tempo,125.62512699999999,1000
gospel,valence,0.3206412,1000
goth,danceability,0.478875,1000
goth,energy,0.7409699202000001,1000
goth,tempo,124.267599,1000
goth,valence,0.443546,1000
grindcore,danceability,0.2718537,1000
grindcore,energy,0.924201,1000
grindcore,tempo,119.22991499999999,1000
grindcore,valence,0.2164336,1000
groove,danceability,0.5839099999999999,1000
groove,energy,0.7636218,1000
groove,tempo,123.739211,1000
groove,valence,0.42647250000000003,1000
grunge,danceability,0.457062,1000
grunge,energy,0.80329,1000
grunge,tempo,129.349208,1000
grunge,valence,0.400373,1000
guitar,danceability,0.5400374,1000
guitar,energy,0.3249991859,1000
guitar,tempo,112.00023900000001,1000
guitar,valence,0.4322858,1000
happy,danceability,0.552847,1000
happy,energy,0.910971,1000
happy,tempo,152.908962,1000
happy,valence,0.32746749999999997,1000
hard-rock,danceability,0.48225,1000
hard-rock,energy,0.7950389999999999,1000
hard-rock,tempo,125.381797,1000
hard-rock,valence,0.5143641,1000
hardcore,danceability,0.546411,1000
hardcore,energy,0.842453,1000
hardcore,tempo,125.376114,1000
hardcore,valence,0.4962738,1000
hardstyle,danceability,0.5392290000000001,1000
hardstyle,energy,0.901246,1000
hardstyle,tempo,146.83745199999998,1000
hardstyle,valence,0.3118884,1000
heavy-metal,danceability,0.42849970000000004,1000
