Genre,Context,Gemiddelde,Aantal
alternative,Dagelijks,3.520408163265306,98
alternative,Tijdens studeren,2.0306122448979593,98
bluegrass,Dagelijks,1.7448979591836735,98
bluegrass,Tijdens studeren,1.3265306122448979,98
blues,Dagelijks,2.7142857142857144,98
blues,Tijdens studeren,1.969387755102041,98
classical,Dagelijks,3.5306122448979593,98
classical,Tijdens studeren,3.622448979591837,98
country,Dagelijks,2.326530612244898,98
country,Tijdens studeren,1.7142857142857142,98
dance/electronica,Dagelijks,3.061224489795918,98
dance/electronica,Tijdens studeren,1.9081632653061225,98
folk,Dagelijks,2.826530612244898,98
folk,Tijdens studeren,1.9795918367346939,98
funk,Dagelijks,2.877551020408163,98
funk,Tijdens studeren,1.683673469387755,98
gospel,Dagelijks,1.7857142857142858,98
gospel,Tijdens studeren,1.5204081632653061,98
heavy metal,Dagelijks,2.561224489795918,98
heavy metal,Tijdens studeren,1.7040816326530612,98
world music,Dagelijks,2.3979591836734695,98
world music,Tijdens studeren,1.6938775510204083,98
jazz,Dagelijks,3.336734693877551,98
jazz,Tijdens studeren,3.0918367346938775,98
new age,Dagelijks,2.204081632653061,98
new age,Tijdens studeren,1.683673469387755,98
oldies,Dagelijks,3.2755102040816326,98
oldies,Tijdens studeren,2.2755102040816326,98
opera,Dagelijks,2.0714285714285716,98
opera,Tijdens studeren,1.6020408163265305,98
popular music,Dagelijks,5.010204081632653,98
popular music,Tijdens studeren,2.938775510204082,98
punk,Dagelijks,2.9285714285714284,98
punk,Tijdens studeren,1.6326530612244898,98
rap/hip-hop,Dagelijks,3.9591836734693877,98
rap/hip-hop,Tijdens studeren,2.306122448979592,98
reggae,Dagelijks,2.5714285714285716,98
reggae,Tijdens studeren,1.846938775510204,98
religious,Dagelijks,1.6122448979591837,98
religious,Tijdens studeren,1.4183673469387754,98
rock,Dagelijks,4.561224489795919,98
rock,Tijdens studeren,2.5714285714285716,98
R&B/soul,Dagelijks,3.9081632653061225,98
R&B/soul,Tijdens studeren,2.683673469387755,98
soundtrack/theme song,Dagelijks,4.0,98
soundtrack/theme song,Tijdens studeren,3.561224489795918,98
